xlow	xhigh	val	errminus	errplus
0.000000e+00	1.200000e-02	2.327273e+01	9.918734e-01	9.918734e-01
1.200000e-02	2.400000e-02	2.310784e+01	6.179099e-01	6.179099e-01
2.400000e-02	3.600000e-02	2.396817e+01	4.592241e-01	4.592241e-01
3.600000e-02	4.800000e-02	2.322340e+01	3.815337e-01	3.815337e-01
4.800000e-02	6.000000e-02	2.309150e+01	3.362126e-01	3.362126e-01
6.000000e-02	7.200000e-02	2.321760e+01	2.900819e-01	2.900819e-01
7.200000e-02	8.400000e-02	2.369694e+01	2.840655e-01	2.840655e-01
8.400000e-02	9.600000e-02	2.360692e+01	2.553124e-01	2.553124e-01
9.600000e-02	1.080000e-01	2.309241e+01	2.422833e-01	2.422833e-01
1.080000e-01	1.200000e-01	2.308635e+01	2.281484e-01	2.281484e-01
1.200000e-01	1.320000e-01	2.288638e+01	2.162277e-01	2.162277e-01
1.320000e-01	1.440000e-01	2.272331e+01	2.090553e-01	2.090553e-01
1.440000e-01	1.560000e-01	2.312472e+01	1.966637e-01	1.966637e-01
1.560000e-01	1.680000e-01	2.290844e+01	1.924015e-01	1.924015e-01
1.680000e-01	1.800000e-01	2.224089e+01	1.830732e-01	1.830732e-01
1.800000e-01	1.920000e-01	2.238221e+01	1.811914e-01	1.811914e-01
1.920000e-01	2.040000e-01	2.232163e+01	1.704568e-01	1.704568e-01
2.040000e-01	2.160000e-01	2.211317e+01	1.683600e-01	1.683600e-01
2.160000e-01	2.280000e-01	2.183277e+01	1.555075e-01	1.555075e-01
2.280000e-01	2.400000e-01	2.175446e+01	1.561357e-01	1.561357e-01
2.400000e-01	2.520000e-01	2.162216e+01	1.517954e-01	1.517954e-01
2.520000e-01	2.640000e-01	2.135719e+01	1.498991e-01	1.498991e-01
2.640000e-01	2.760000e-01	2.110087e+01	1.414908e-01	1.414908e-01
2.760000e-01	2.880000e-01	2.096858e+01	1.420067e-01	1.420067e-01
2.880000e-01	3.000000e-01	2.050998e+01	1.383597e-01	1.383597e-01
3.000000e-01	3.120000e-01	2.047552e+01	1.323985e-01	1.323985e-01
3.120000e-01	3.240000e-01	2.051020e+01	1.295886e-01	1.295886e-01
3.240000e-01	3.360000e-01	1.991046e+01	1.259212e-01	1.259212e-01
3.360000e-01	3.480000e-01	1.987315e+01	1.246463e-01	1.246463e-01
3.480000e-01	3.600000e-01	1.968086e+01	1.195741e-01	1.195741e-01
3.600000e-01	3.720000e-01	1.928747e+01	1.181209e-01	1.181209e-01
3.720000e-01	3.840000e-01	1.900782e+01	1.166710e-01	1.166710e-01
3.840000e-01	3.960000e-01	1.885491e+01	1.165441e-01	1.165441e-01
3.960000e-01	4.080000e-01	1.847349e+01	1.092186e-01	1.092186e-01
4.080000e-01	4.200000e-01	1.837508e+01	1.056458e-01	1.056458e-01
4.200000e-01	4.320000e-01	1.811192e+01	1.058484e-01	1.058484e-01
4.320000e-01	4.440000e-01	1.772794e+01	1.041139e-01	1.041139e-01
4.440000e-01	4.560000e-01	1.740640e+01	9.975204e-02	9.975204e-02
4.560000e-01	4.680000e-01	1.724867e+01	9.683105e-02	9.683105e-02
4.680000e-01	4.800000e-01	1.686335e+01	9.523701e-02	9.523701e-02
4.800000e-01	4.920000e-01	1.679697e+01	9.653183e-02	9.653183e-02
4.920000e-01	5.040000e-01	1.653098e+01	9.180363e-02	9.180363e-02
5.040000e-01	5.160000e-01	1.613936e+01	9.217827e-02	9.217827e-02
5.160000e-01	5.280000e-01	1.602543e+01	9.111018e-02	9.111018e-02
5.280000e-01	5.400000e-01	1.567581e+01	8.737590e-02	8.737590e-02
5.400000e-01	5.520000e-01	1.527110e+01	8.804548e-02	8.804548e-02
5.520000e-01	5.640000e-01	1.488790e+01	8.361300e-02	8.361300e-02
5.640000e-01	5.760000e-01	1.484949e+01	8.537839e-02	8.537839e-02
5.760000e-01	5.880000e-01	1.453264e+01	8.201536e-02	8.201536e-02
5.880000e-01	6.000000e-01	1.411623e+01	8.023075e-02	8.023075e-02
6.000000e-01	6.120000e-01	1.385364e+01	7.907973e-02	7.907973e-02
6.120000e-01	6.240000e-01	1.369587e+01	7.747092e-02	7.747092e-02
6.240000e-01	6.360000e-01	1.331901e+01	7.463770e-02	7.463770e-02
6.360000e-01	6.480000e-01	1.301571e+01	7.318229e-02	7.318229e-02
6.480000e-01	6.600000e-01	1.280666e+01	7.158646e-02	7.158646e-02
6.600000e-01	6.720000e-01	1.262539e+01	7.080101e-02	7.080101e-02
6.720000e-01	6.840000e-01	1.227099e+01	6.891943e-02	6.891943e-02
6.840000e-01	6.960000e-01	1.194074e+01	6.759507e-02	6.759507e-02
6.960000e-01	7.080000e-01	1.163049e+01	6.660622e-02	6.660622e-02
7.080000e-01	7.200000e-01	1.148868e+01	6.542439e-02	6.542439e-02
7.200000e-01	7.320000e-01	1.125338e+01	6.483101e-02	6.483101e-02
7.320000e-01	7.440000e-01	1.094459e+01	6.330319e-02	6.330319e-02
7.440000e-01	7.560000e-01	1.065557e+01	6.222430e-02	6.222430e-02
7.560000e-01	7.680000e-01	1.034622e+01	6.077885e-02	6.077885e-02
