xlow	xhigh	val	errminus	errplus
0.000000e+00	1.200000e-02	2.525974e+01	1.095321e+00	1.095321e+00
1.200000e-02	2.400000e-02	2.532843e+01	6.605107e-01	6.605107e-01
2.400000e-02	3.600000e-02	2.615119e+01	4.958088e-01	4.958088e-01
3.600000e-02	4.800000e-02	2.531277e+01	4.077629e-01	4.077629e-01
4.800000e-02	6.000000e-02	2.517647e+01	3.622341e-01	3.622341e-01
6.000000e-02	7.200000e-02	2.523900e+01	3.109349e-01	3.109349e-01
7.200000e-02	8.400000e-02	2.585996e+01	3.037093e-01	3.037093e-01
8.400000e-02	9.600000e-02	2.572975e+01	2.764096e-01	2.764096e-01
9.600000e-02	1.080000e-01	2.515347e+01	2.596470e-01	2.596470e-01
1.080000e-01	1.200000e-01	2.515189e+01	2.458149e-01	2.458149e-01
1.200000e-01	1.320000e-01	2.483654e+01	2.329730e-01	2.329730e-01
1.320000e-01	1.440000e-01	2.471840e+01	2.236845e-01	2.236845e-01
1.440000e-01	1.560000e-01	2.514278e+01	2.112102e-01	2.112102e-01
1.560000e-01	1.680000e-01	2.490639e+01	2.049013e-01	2.049013e-01
1.680000e-01	1.800000e-01	2.420447e+01	1.969574e-01	1.969574e-01
1.800000e-01	1.920000e-01	2.440634e+01	1.953457e-01	1.953457e-01
1.920000e-01	2.040000e-01	2.424754e+01	1.833664e-01	1.833664e-01
2.040000e-01	2.160000e-01	2.410028e+01	1.821004e-01	1.821004e-01
2.160000e-01	2.280000e-01	2.374220e+01	1.674914e-01	1.674914e-01
2.280000e-01	2.400000e-01	2.369236e+01	1.679224e-01	1.679224e-01
2.400000e-01	2.520000e-01	2.349712e+01	1.630016e-01	1.630016e-01
2.520000e-01	2.640000e-01	2.322170e+01	1.611255e-01	1.611255e-01
2.640000e-01	2.760000e-01	2.298700e+01	1.508096e-01	1.508096e-01
2.760000e-01	2.880000e-01	2.279020e+01	1.530505e-01	1.530505e-01
2.880000e-01	3.000000e-01	2.229419e+01	1.483277e-01	1.483277e-01
3.000000e-01	3.120000e-01	2.225984e+01	1.418108e-01	1.418108e-01
3.120000e-01	3.240000e-01	2.234270e+01	1.399833e-01	1.399833e-01
3.240000e-01	3.360000e-01	2.164107e+01	1.360594e-01	1.360594e-01
3.360000e-01	3.480000e-01	2.161010e+01	1.337646e-01	1.337646e-01
3.480000e-01	3.600000e-01	2.141086e+01	1.287360e-01	1.287360e-01
3.600000e-01	3.720000e-01	2.099931e+01	1.272480e-01	1.272480e-01
3.720000e-01	3.840000e-01	2.067203e+01	1.254075e-01	1.254075e-01
