xlow	xhigh	val	errminus	errplus
0.000000e+00	1.200000e-02	1.535065e+01	4.082900e-01	4.082900e-01
1.200000e-02	2.400000e-02	1.618137e+01	2.425500e-01	2.425500e-01
2.400000e-02	3.600000e-02	1.641645e+01	1.833175e-01	1.833175e-01
3.600000e-02	4.800000e-02	1.624681e+01	1.734991e-01	1.734991e-01
4.800000e-02	6.000000e-02	1.616993e+01	1.561912e-01	1.561912e-01
6.000000e-02	7.200000e-02	1.604162e+01	1.304712e-01	1.304712e-01
7.200000e-02	8.400000e-02	1.604048e+01	1.219561e-01	1.219561e-01
8.400000e-02	9.600000e-02	1.600091e+01	1.097281e-01	1.097281e-01
9.600000e-02	1.080000e-01	1.603713e+01	1.081000e-01	1.081000e-01
1.080000e-01	1.200000e-01	1.590054e+01	1.002289e-01	1.002289e-01
1.200000e-01	1.320000e-01	1.577076e+01	9.469641e-02	9.469641e-02
1.320000e-01	1.440000e-01	1.566748e+01	8.763411e-02	8.763411e-02
1.440000e-01	1.560000e-01	1.577935e+01	8.608242e-02	8.608242e-02
1.560000e-01	1.680000e-01	1.552174e+01	8.106194e-02	8.106194e-02
1.680000e-01	1.800000e-01	1.527295e+01	7.933811e-02	7.933811e-02
1.800000e-01	1.920000e-01	1.521854e+01	7.869794e-02	7.869794e-02
1.920000e-01	2.040000e-01	1.516317e+01	7.355885e-02	7.355885e-02
2.040000e-01	2.160000e-01	1.491462e+01	7.137291e-02	7.137291e-02
2.160000e-01	2.280000e-01	1.488914e+01	6.866617e-02	6.866617e-02
2.280000e-01	2.400000e-01	1.470485e+01	6.654149e-02	6.654149e-02
2.400000e-01	2.520000e-01	1.460624e+01	6.395774e-02	6.395774e-02
2.520000e-01	2.640000e-01	1.447270e+01	6.464000e-02	6.464000e-02
2.640000e-01	2.760000e-01	1.436077e+01	6.105214e-02	6.105214e-02
2.760000e-01	2.880000e-01	1.421103e+01	6.032403e-02	6.032403e-02
2.880000e-01	3.000000e-01	1.405091e+01	5.891636e-02	5.891636e-02
3.000000e-01	3.120000e-01	1.387206e+01	5.703046e-02	5.703046e-02
3.120000e-01	3.240000e-01	1.371243e+01	5.646745e-02	5.646745e-02
3.240000e-01	3.360000e-01	1.341098e+01	5.384813e-02	5.384813e-02
3.360000e-01	3.480000e-01	1.330271e+01	5.191141e-02	5.191141e-02
3.480000e-01	3.600000e-01	1.318741e+01	5.060949e-02	5.060949e-02
3.600000e-01	3.720000e-01	1.296132e+01	4.974285e-02	4.974285e-02
3.720000e-01	3.840000e-01	1.279030e+01	4.886897e-02	4.886897e-02
3.840000e-01	3.960000e-01	1.253109e+01	4.808528e-02	4.808528e-02
3.960000e-01	4.080000e-01	1.237766e+01	4.626752e-02	4.626752e-02
4.080000e-01	4.200000e-01	1.223187e+01	4.656777e-02	4.656777e-02
4.200000e-01	4.320000e-01	1.198309e+01	4.569507e-02	4.569507e-02
4.320000e-01	4.440000e-01	1.177101e+01	4.375594e-02	4.375594e-02
4.440000e-01	4.560000e-01	1.154374e+01	4.243456e-02	4.243456e-02
4.560000e-01	4.680000e-01	1.133516e+01	4.142198e-02	4.142198e-02
4.680000e-01	4.800000e-01	1.114509e+01	4.101887e-02	4.101887e-02
4.800000e-01	4.920000e-01	1.095224e+01	4.024788e-02	4.024788e-02
4.920000e-01	5.040000e-01	1.076094e+01	3.843691e-02	3.843691e-02
5.040000e-01	5.160000e-01	1.049414e+01	3.851764e-02	3.851764e-02
5.160000e-01	5.280000e-01	1.033005e+01	3.744202e-02	3.744202e-02
5.280000e-01	5.400000e-01	1.015959e+01	3.626917e-02	3.626917e-02
5.400000e-01	5.520000e-01	9.889632e+00	3.612698e-02	3.612698e-02
5.520000e-01	5.640000e-01	9.692002e+00	3.531155e-02	3.531155e-02
5.640000e-01	5.760000e-01	9.541741e+00	3.498836e-02	3.498836e-02
5.760000e-01	5.880000e-01	9.314743e+00	3.404382e-02	3.404382e-02
5.880000e-01	6.000000e-01	9.100278e+00	3.326723e-02	3.326723e-02
6.000000e-01	6.120000e-01	8.796450e+00	3.229903e-02	3.229903e-02
6.120000e-01	6.240000e-01	8.658753e+00	3.189266e-02	3.189266e-02
6.240000e-01	6.360000e-01	8.441266e+00	3.067772e-02	3.067772e-02
6.360000e-01	6.480000e-01	8.207723e+00	2.996388e-02	2.996388e-02
6.480000e-01	6.600000e-01	7.979408e+00	2.924141e-02	2.924141e-02
6.600000e-01	6.720000e-01	7.867058e+00	2.922750e-02	2.922750e-02
6.720000e-01	6.840000e-01	7.621767e+00	2.841936e-02	2.841936e-02
6.840000e-01	6.960000e-01	7.399976e+00	2.791506e-02	2.791506e-02
6.960000e-01	7.080000e-01	7.180854e+00	2.740539e-02	2.740539e-02
7.080000e-01	7.200000e-01	7.018262e+00	2.663505e-02	2.663505e-02
7.200000e-01	7.320000e-01	6.871081e+00	2.620432e-02	2.620432e-02
7.320000e-01	7.440000e-01	6.641820e+00	2.585609e-02	2.585609e-02
7.440000e-01	7.560000e-01	6.440227e+00	2.496228e-02	2.496228e-02
7.560000e-01	7.680000e-01	6.228924e+00	2.443897e-02	2.443897e-02
7.680000e-01	7.800000e-01	6.089616e+00	2.392219e-02	2.392219e-02
7.800000e-01	7.920000e-01	5.897271e+00	2.370598e-02	2.370598e-02
7.920000e-01	8.040000e-01	5.685660e+00	2.308642e-02	2.308642e-02
8.040000e-01	8.160000e-01	5.513375e+00	2.249145e-02	2.249145e-02
8.160000e-01	8.280000e-01	5.332567e+00	2.191937e-02	2.191937e-02
8.280000e-01	8.400000e-01	5.214016e+00	2.149891e-02	2.149891e-02
8.400000e-01	8.520000e-01	4.992430e+00	2.053573e-02	2.053573e-02
8.520000e-01	8.640000e-01	4.893239e+00	2.057426e-02	2.057426e-02
8.640000e-01	8.760000e-01	4.688104e+00	1.996469e-02	1.996469e-02
8.760000e-01	8.880000e-01	4.533841e+00	1.953607e-02	1.953607e-02
8.880000e-01	9.000000e-01	4.367161e+00	1.893870e-02	1.893870e-02
9.000000e-01	9.120000e-01	4.272416e+00	1.859286e-02	1.859286e-02
9.120000e-01	9.240000e-01	4.058101e+00	1.806213e-02	1.806213e-02
9.240000e-01	9.360000e-01	3.971330e+00	1.733437e-02	1.733437e-02
9.360000e-01	9.480000e-01	3.810670e+00	1.697775e-02	1.697775e-02
9.480000e-01	9.600000e-01	3.716830e+00	1.677827e-02	1.677827e-02
9.600000e-01	9.720000e-01	3.542598e+00	1.609399e-02	1.609399e-02
9.720000e-01	9.840000e-01	3.438038e+00	1.577343e-02	1.577343e-02
9.840000e-01	9.960000e-01	3.301422e+00	1.528743e-02	1.528743e-02
9.960000e-01	1.008000e+00	3.224440e+00	1.515047e-02	1.515047e-02
